"group","variable","type","definition","applies_to","source","allowed_values_or_units","missingness","notes"
"Trial categories","is_cell_or_gene_therapy_trial","logical","Whether intervention text indicates cell or gene therapy.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Trial categories","is_diagnostic_trial","logical","Whether any intervention is coded as diagnostic test.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Trial categories","lead_sponsor_name","character","Lead sponsor name.","all rows","AACT sponsors","free text","may be missing",""
"Trial categories","lead_sponsor_class","character","Lead sponsor class.","all rows","AACT sponsors","ClinicalTrials.gov sponsor class","may be missing",""
"Trial categories","has_industry_sponsor","logical","Whether the lead sponsor class is industry.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Outcome descriptors","outcome_type","character","Outcome type recorded in ClinicalTrials.gov.","all rows","AACT outcomes","ClinicalTrials.gov outcome type","not missing","ClinicalTrials.gov contains secondary and other outcome types; this analytic file keeps primary outcomes."
"Outcome descriptors","outcome_title","character","Outcome title.","all rows","AACT outcomes","free text","may be missing",""
"Outcome descriptors","outcome_time_frame","character","Outcome time frame.","all rows","AACT outcomes","free text","may be missing",""
"Outcome descriptors","measurement_stratum_id","character","AACT measurement stratum identifier for raw-derived rows.","raw-only rows","AACT outcome_measurements","AACT stratum id","missing for author-reported rows",""
"Outcome descriptors","measurement_title","character","Measurement title for raw-derived endpoint rows.","raw-only rows","AACT outcome_measurements","free text","missing for author-reported rows",""
"Outcome descriptors","measurement_units","character","Measurement units for raw-derived endpoint rows.","raw-only rows","AACT outcome_measurements","free text","missing for author-reported rows",""
"BEAR effect fields","measure_class","character","Effect-size family used by BEAR summaries.","all rows","BEAR processing","effect class label","not missing",""
"BEAR effect fields","scale","character","Scale of the stored effect size.","all rows","BEAR processing","scale label","not missing",""
"BEAR effect fields","effect","numeric","Effect estimate used for BEAR-facing analysis.","all rows","BEAR processing","effect-size units","may be missing","Alias of b retained for compatibility."
"BEAR effect fields","b","numeric","Effect estimate used for z-value calculations where available.","all rows","BEAR processing","effect-size units","may be missing",""
"BEAR effect fields","se","numeric","Standard error of the effect estimate where available.","all rows","BEAR processing","effect-size units","may be missing",""
"BEAR effect fields","z","numeric","Signed z-value used in BEAR analyses.","all rows","BEAR processing","z units","not missing","Rows without a recoverable z-value are not included in this analytic file."
"BEAR effect fields","z_operator","character","Operator describing whether z is exact or bounded.","all rows","BEAR processing","=; <; >","not missing","For p-value inequalities the direction is converted to the z scale."
"BEAR effect fields","p_sides","integer","Number of p-value sides assumed for the z-value derivation.","all rows","BEAR processing","1; 2","not missing","ClinicalTrials.gov p-values are treated as two-sided in this workflow."
"Author-reported analysis inputs","linked_result_group_ids","character","Result-group identifiers linked to an author-reported outcome analysis.","author-reported rows","AACT outcome_analysis_groups","semicolon-delimited AACT result group ids","missing for raw-only rows",""
"Author-reported analysis inputs","linked_group_codes","character","Group codes linked to an author-reported outcome analysis.","author-reported rows","AACT outcome_analysis_groups","semicolon-delimited group codes","missing for raw-only rows",""
"Author-reported analysis inputs","n_linked_groups","integer","Number of result groups linked to an author-reported analysis.","author-reported rows","BEAR processing","groups","missing for raw-only rows",""
"Author-reported analysis inputs","author_group_pair_key","character","Canonical result-group pair key for author-reported rows.","author-reported rows","BEAR processing","group-pair key","missing when no pair can be formed","Used only as public provenance for the source-reported comparison."
"Author-reported analysis inputs","method","character","Statistical method reported for the outcome analysis.","author-reported rows","AACT outcome_analyses","free text","missing for raw-only rows",""
"Author-reported analysis inputs","param_type","character","Parameter type reported for the outcome analysis.","author-reported rows","AACT outcome_analyses","free text","missing for raw-only rows",""
"Author-reported analysis inputs","estimate","numeric","Source-reported effect estimate.","author-reported rows","AACT outcome_analyses","reported effect units","missing for raw-only rows and some p-only analyses",""
"Author-reported analysis inputs","lower","numeric","Source-reported confidence interval lower bound.","author-reported rows","AACT outcome_analyses","reported effect units","missing when no interval is reported",""
"Author-reported analysis inputs","upper","numeric","Source-reported confidence interval upper bound.","author-reported rows","AACT outcome_analyses","reported effect units","missing when no interval is reported",""
"Author-reported analysis inputs","p_value","numeric","Source-reported p-value.","author-reported rows","AACT outcome_analyses","probability","missing when no p-value is reported",""
"Author-reported analysis inputs","p_value_modifier","character","Source-reported p-value inequality modifier.","author-reported rows","AACT outcome_analyses","=; <; >","missing for exact or absent p-values",""
"Author-reported analysis inputs","ci_percent","numeric","Confidence level of the source-reported interval.","author-reported rows","AACT outcome_analyses","percent","missing when no interval is reported",""
"Author-reported analysis inputs","ci_n_sides","integer","Number of sides for the source-reported confidence interval.","author-reported rows","AACT outcome_analyses","1; 2","missing when no interval is reported",""
"Raw endpoint calculation inputs","raw_measure","character","Raw endpoint effect measure selected for BEAR import.","raw-only rows","BEAR raw endpoint calculations","effect-measure label","missing for author-reported rows","Only selected raw endpoint scales enter the public file; non-selected raw scales remain in audit artifacts."
"Raw endpoint calculation inputs","raw_effect_family","character","Raw endpoint outcome family.","raw-only rows","BEAR raw endpoint calculations","continuous; binary","missing for author-reported rows",""
"Raw endpoint calculation inputs","n_raw_overlap_matches","integer","Number of selected raw endpoint rows matching the same study, outcome, and result-group pair for an author-reported row.","author-reported rows","BEAR processing","rows","missing for raw-derived rows","Values greater than 1 indicate multiple raw measurement strata for the same author comparison; join with care."
"Raw endpoint calculation inputs","derivation_rule_id","character","Rule used to derive the raw endpoint contrast.","raw-only rows","BEAR raw endpoint calculations","rule identifier","missing for author-reported rows",""
"Raw endpoint calculation inputs","raw_event_t","numeric","Event count in the treatment or focal group for binary raw contrasts.","raw-only binary rows","AACT outcome_measurements","events","missing for continuous rows and author-reported rows",""
"Raw endpoint calculation inputs","raw_event_c","numeric","Event count in the comparator group for binary raw contrasts.","raw-only binary rows","AACT outcome_measurements","events","missing for continuous rows and author-reported rows",""
"Raw endpoint calculation inputs","raw_n_t","numeric","Analysis count in the treatment or focal group for raw contrasts.","raw-only rows","AACT outcome_measurements","participants","missing for author-reported rows",""
"Raw endpoint calculation inputs","raw_n_c","numeric","Analysis count in the comparator group for raw contrasts.","raw-only rows","AACT outcome_measurements","participants","missing for author-reported rows",""
"Raw endpoint calculation inputs","raw_mean_t","numeric","Mean in the treatment or focal group for continuous raw contrasts.","raw-only continuous rows","AACT outcome_measurements","measurement units","missing for binary rows and author-reported rows",""
"Raw endpoint calculation inputs","raw_mean_c","numeric","Mean in the comparator group for continuous raw contrasts.","raw-only continuous rows","AACT outcome_measurements","measurement units","missing for binary rows and author-reported rows",""
"Raw endpoint calculation inputs","raw_sd_t","numeric","Standard deviation in the treatment or focal group for continuous raw contrasts.","raw-only continuous rows","AACT outcome_measurements","measurement units","missing for binary rows and author-reported rows",""
"Raw endpoint calculation inputs","raw_sd_c","numeric","Standard deviation in the comparator group for continuous raw contrasts.","raw-only continuous rows","AACT outcome_measurements","measurement units","missing for binary rows and author-reported rows",""
"Raw result-group metadata","raw_group_pair_key","character","Canonical result-group pair key for raw-derived contrasts.","raw-only rows","BEAR processing","group-pair key","missing for author-reported rows",""
"Raw result-group metadata","raw_group_t_id","character","AACT result-group identifier for the treatment or focal group.","raw-only rows","AACT result_groups","AACT result group id","missing for author-reported rows",""
"Raw result-group metadata","raw_group_c_id","character","AACT result-group identifier for the comparator group.","raw-only rows","AACT result_groups","AACT result group id","missing for author-reported rows",""
"Raw result-group metadata","raw_group_t_title","character","Title of the treatment or focal result group.","raw-only rows","AACT result_groups","free text","missing for author-reported rows",""
"Raw result-group metadata","raw_group_c_title","character","Title of the comparator result group.","raw-only rows","AACT result_groups","free text","missing for author-reported rows",""
"Raw result-group metadata","raw_group_t_role","character","Role assigned to the treatment or focal group.","raw-only rows","BEAR processing","treatment; focal; comparator-derived label","missing for author-reported rows",""
"Raw result-group metadata","raw_group_c_role","character","Role assigned to the comparator group.","raw-only rows","BEAR processing","comparator-derived label","missing for author-reported rows",""
"Raw result-group metadata","direction_unknown","logical","Whether treatment-comparator direction could not be inferred for the raw-derived contrast.","raw-only rows","BEAR processing","TRUE; FALSE","missing for author-reported rows","TRUE means the sign of the raw-derived contrast is less interpretable."
"Raw result-group metadata","raw_role_confidence","character","Confidence level of the raw group-role assignment.","raw-only rows","BEAR processing","role-confidence label","missing for author-reported rows",""
"Raw result-group metadata","raw_pair_dependency_class","character","Dependency class for the raw result-group pair within the study outcome.","raw-only rows","BEAR processing","dependency-class label","missing for author-reported rows",""
"Raw result-group metadata","raw_multi_arm_trial","logical","Whether the raw-derived contrast comes from a multi-arm trial.","raw-only rows","BEAR processing","TRUE; FALSE","missing for author-reported rows",""
